Планета;Звезда;Уточненная природа;Масса(Me);Радиус(Re);Плотн(г/см3);Т-ра(K);Период(дн);Орбита(а.е.);PRI;ESI;Статус ИИ;Надёжность ИИ
LTT 1445 A b;LTT 1445 A;Каменистая планета;2.73;1.34;6.25;393;5.36;0.038;0.953;0.707;Оригинал;Оригинал
Kepler-333 Ac;Kepler-333 A;Каменистая планета;1.61;1.16;5.68;419;24.09;0.145;0.983;0.709;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 1265 b;GJ 1265;Каменистая планета;3.30;1.37;7.11;387;3.65;0.026;0.788;0.710;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LHS 1678 d;LHS 1678;Каменистая планета;1.12;0.98;6.55;441;4.97;0.040;0.786;0.712;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-446 d;Kepler-446;Каменистая планета;2.95;1.35;6.60;386;5.15;0.035;0.886;0.713;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Barnard b;Barnard's star;Каменистая планета;1.99;1.25;5.57;400;3.15;0.023;0.934;0.714;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-2267 b;TOI-2267 A;Каменистая планета;1.36;1.00;7.51;443;2.29;0.019;0.599;0.715;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LTT 1445 Ab;LTT 1445 A;Каменистая планета;2.86;1.30;7.17;392;5.36;0.038;0.758;0.715;Оригинал;Оригинал
Kepler-54 c;Kepler-54;Каменистая планета;2.56;1.23;7.57;402;12.07;0.082;0.659;0.716;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-174 c;Kepler-174;Каменистая планета;4.02;1.49;6.69;364;44.00;0.216;0.904;0.716;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-72 b;K2-72;Каменистая планета;1.59;1.08;6.93;427;5.58;0.040;0.741;0.716;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-367 b;Kepler-367;Каменистая планета;3.02;1.30;7.58;390;37.82;0.197;0.677;0.718;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
G 192-15 b;G 192-15;Каменистая планета;1.55;1.11;6.29;420;2.27;0.017;0.878;0.718;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Luyten's Star c;Luyten's Star;Каменистая планета;1.19;1.02;6.10;435;4.72;0.036;0.889;0.718;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-369 Ac;Kepler-369 A;Каменистая планета;2.75;1.41;5.37;371;14.87;0.096;0.853;0.722;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
CD Cet b;CD Cet;Каменистая планета;1.75;1.07;7.95;424;2.29;0.019;0.534;0.722;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-384 e;K2-384;Каменистая планета;3.22;1.34;7.29;379;9.72;0.062;0.747;0.722;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
55 Cnc Bb;55 Cnc B;Каменистая планета;3.28;1.44;6.05;364;6.80;0.045;0.982;0.725;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LHS 1140 c;LHS 1140;Каменистая планета;1.91;1.27;5.11;385;3.78;0.027;0.838;0.728;Оригинал;Оригинал
K2-315 b;K2-315;Каменистая планета;1.15;0.95;7.36;420;3.14;0.023;0.613;0.729;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-383 Ac;Kepler-383 A;Каменистая планета;2.61;1.24;7.46;389;31.20;0.170;0.684;0.729;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-4336 Ac;TOI-4336 A;Каменистая планета;1.55;1.25;4.38;387;7.59;0.052;0.697;0.730;Оригинал;Оригинал
Kepler-369 c;Kepler-369;Каменистая планета;2.89;1.41;5.68;358;14.87;0.092;0.914;0.738;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-384  e;K2-384;Каменистая планета;2.35;1.34;5.33;366;9.72;0.062;0.861;0.739;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-237 b;TOI-237;Каменистая планета;3.39;1.44;6.25;352;5.44;0.034;0.979;0.741;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-2267 Ac;TOI-2267 A;Каменистая планета;1.81;1.14;6.73;393;3.50;0.025;0.801;0.744;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 411 b;GJ 411;Каменистая планета;3.10;1.39;6.32;354;12.94;0.079;0.953;0.746;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 357 c;GJ 357;Каменистая планета;2.69;1.29;6.89;367;9.12;0.060;0.811;0.748;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Barnard's star b;Barnard's star;Каменистая планета;1.15;0.97;6.95;404;3.15;0.023;0.703;0.753;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-4336 A c;TOI-4336 A;Каменистая планета;1.55;1.25;4.36;369;7.59;0.051;0.694;0.753;Оригинал;Оригинал
TOI-2267 c;TOI-2267 A;Каменистая планета;1.49;1.14;5.53;384;3.50;0.025;0.959;0.755;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-220 e;Kepler-220;Каменистая планета;3.20;1.33;7.49;353;45.90;0.222;0.703;0.758;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1185 b;Kepler-1185;Каменистая планета;3.28;1.33;7.67;353;104.35;0.428;0.666;0.759;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
QZ Ser b;QZ Ser (AB);Каменистая планета;0.92;0.97;5.63;394;1.04;0.019;0.965;0.765;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
LP 791-18 d;LP 791-18;Каменистая планета;0.91;1.03;4.56;394;2.75;0.020;0.800;0.765;Оригинал;Оригинал
Kepler-1459 b;Kepler-1459;Каменистая планета;3.48;1.36;7.61;343;62.87;0.285;0.686;0.767;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Gl 725 Ab;Gl 725 A;Каменистая планета;2.57;1.30;6.47;351;11.22;0.068;0.897;0.768;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-700 b;TOI-700;Каменистая планета;0.88;0.91;6.37;380;9.98;0.068;0.799;0.770;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-771 c;TOI-771;Каменистая планета;3.03;1.40;6.04;334;7.61;0.046;0.989;0.771;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-5728 b;TOI-5728;Каменистая планета;2.77;1.31;6.79;344;11.50;0.071;0.838;0.775;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-333 c;Kepler-333;Каменистая планета;1.96;1.11;7.90;373;24.09;0.135;0.556;0.776;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-129 b;K2-129;Каменистая планета;1.47;1.04;7.21;384;8.24;0.057;0.673;0.777;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Barnard c;Barnard's star;Каменистая планета;1.47;1.15;5.32;365;4.12;0.027;0.916;0.777;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-327 b;K2-327;Каменистая планета;1.39;1.05;6.68;377;6.80;0.046;0.781;0.784;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-395 c;Kepler-395;Каменистая планета;2.65;1.32;6.34;336;34.99;0.174;0.929;0.785;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
YZ Cet c;YZ Cet;Каменистая планета;1.66;1.06;7.78;375;3.06;0.022;0.563;0.785;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TRAPPIST-1 b;TRAPPIST-1;Каменистая планета;1.37;1.12;5.45;363;1.51;0.012;0.950;0.787;Оригинал;Оригинал
TRAPPIST-1 g;TRAPPIST-1;Каменистая планета;1.32;1.13;5.06;180;12.35;0.047;0.869;0.790;Оригинал;Оригинал
55 Cnc B b;55 Cnc B;Каменистая планета;1.83;1.14;6.82;358;6.80;0.045;0.782;0.790;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-239 c;K2-239;Каменистая планета;1.26;1.00;6.92;380;7.78;0.057;0.718;0.790;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
L 98-59 e;L 98-59;Каменистая планета;3.19;1.43;6.04;317;12.83;0.071;0.981;0.792;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-186 f;Kepler-186;Каменистая планета;2.21;1.17;7.62;187;129.94;0.410;0.631;0.799;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
MOA-2013-BLG-605L b;MOA-2013-BLG-605L;Каменистая планета;3.24;1.43;6.13;311;5.38;0.022;0.999;0.799;[Восстановлено ИИ];❌ ОЧЕНЬ НИЗКАЯ надёжность (не рекомендуется)
Kepler-186 e;Kepler-186;Каменистая планета;2.62;1.27;7.06;329;22.41;0.122;0.772;0.805;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1126 c;Kepler-1126;Каменистая планета;3.63;1.45;6.57;305;199.67;0.619;0.919;0.805;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-239 d;K2-239;Каменистая планета;1.37;1.10;5.68;348;10.12;0.067;0.998;0.812;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 625 b;GJ 625;Каменистая планета;3.25;1.40;6.54;306;14.63;0.078;0.912;0.812;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1605 b;Kepler-1605;Каменистая планета;1.77;1.08;7.74;350;85.76;0.362;0.580;0.814;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2013-BLG-0341L B b;OGLE-2013-BLG-0341L B;Каменистая планета;1.66;1.22;5.07;327;3.73;0.023;0.845;0.818;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2013-BLG-0341L Bb;OGLE-2013-BLG-0341L B;Каменистая планета;1.66;1.22;5.07;327;3.73;0.023;0.844;0.818;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Barnard e;Barnard's star;Каменистая планета;2.75;1.34;6.31;310;6.74;0.038;0.942;0.819;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
GJ 1061 b;GJ 1061;Каменистая планета;1.11;0.97;6.65;355;3.21;0.021;0.762;0.819;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 137010 b;HD 137010;Каменистая планета;1.68;1.06;7.78;186;355.00;0.882;0.566;0.820;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
L 363-38 b;L 363-38;Каменистая планета;2.57;1.22;7.90;324;8.78;0.050;0.589;0.823;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-3 d;K2-3;Каменистая планета;2.20;1.46;3.91;279;44.56;0.201;0.548;0.846;Оригинал;Оригинал
Kepler-445 d;Kepler-445;Каменистая планета;2.69;1.25;7.60;301;8.15;0.045;0.659;0.852;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TRAPPIST-1 f;TRAPPIST-1;Каменистая планета;1.04;1.04;5.02;199;9.21;0.039;0.887;0.858;Оригинал;Оригинал
Kepler-138 e;Kepler-138;Каменистая планета;0.43;0.77;5.13;291;38.23;0.180;0.995;0.858;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-72 c;K2-72;Каменистая планета;1.71;1.16;6.02;305;15.19;0.078;0.948;0.864;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TRAPPIST-1 c;TRAPPIST-1;Каменистая планета;1.31;1.10;5.46;310;2.42;0.016;0.959;0.871;Оригинал;Оригинал
Teegarden's Star b;Teegarden's Star;Каменистая планета;2.60;1.26;7.22;287;4.91;0.026;0.736;0.873;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1649 Ab;Kepler-1649 A;Каменистая планета;1.01;1.02;5.26;315;8.69;0.048;0.944;0.882;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1649 b;Kepler-1649;Каменистая планета;1.25;1.02;6.54;313;8.69;0.048;0.801;0.886;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-1266 d;TOI-1266;Каменистая планета;3.68;1.38;7.67;262;32.51;0.151;0.681;0.890;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
G 261-6 b;G 261-6;Каменистая планета;1.76;1.16;6.17;288;5.45;0.030;0.918;0.893;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
OGLE-2016-BLG-1195L b;OGLE-2016-BLG-1195L;Каменистая планета;1.43;1.03;7.32;301;4.01;0.021;0.647;0.905;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Gliese 12 b;Gliese 12;Каменистая планета;0.95;0.93;6.51;290;12.76;0.068;0.777;0.912;Оригинал;Оригинал
TRAPPIST-1 d;TRAPPIST-1;Каменистая планета;0.39;0.79;4.37;261;4.05;0.022;0.848;0.917;Оригинал;Оригинал
GJ 1061 c;GJ 1061;Каменистая планета;1.81;1.08;7.86;277;6.68;0.034;0.557;0.932;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1649 c;Kepler-1649;Каменистая планета;1.67;1.06;7.73;239;19.54;0.083;0.575;0.950;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1649 Ac;Kepler-1649 A;Каменистая планета;1.62;1.06;7.37;240;19.54;0.083;0.649;0.950;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-700 e;TOI-700;Каменистая планета;1.19;0.95;7.55;270;27.81;0.134;0.576;0.955;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
ISO 1I;Sun;Железная планета;0.00;0.00;8.50;1236;2.85;0.039;0.000;0.001;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
ISO 2I;Sun;Железная планета;0.00;0.00;8.74;1236;2.85;0.039;0.000;0.007;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-469 b;Kepler-469;Железная планета;0.63;0.73;8.93;2771;0.88;0.018;0.217;0.135;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-879 c;Kepler-879;Железная планета;0.10;0.40;8.78;2020;0.65;0.015;0.080;0.147;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1489 c;Kepler-1489;Железная планета;0.22;0.51;8.97;1958;0.68;0.015;0.106;0.166;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1547 b;Kepler-1547;Железная планета;1.29;0.90;9.73;2308;0.69;0.016;0.122;0.172;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1087 b;Kepler-1087;Железная планета;0.39;0.61;9.42;1942;0.69;0.015;0.066;0.179;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1589 b;Kepler-1589;Железная планета;1.94;1.09;8.26;2120;0.99;0.021;0.480;0.188;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-653 c;Kepler-653;Железная планета;0.79;0.78;9.20;2011;0.90;0.018;0.183;0.188;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-780 b;Kepler-780;Железная планета;1.02;0.89;8.01;2088;0.68;0.015;0.463;0.189;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-183 b;K2-183;Железная планета;2.20;1.10;9.09;2102;0.47;0.012;0.315;0.189;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1373 b;Kepler-1373;Железная планета;2.51;1.16;8.85;2034;1.29;0.025;0.383;0.192;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 137496 b;HD 137496;Железная планета;4.04;1.31;9.90;1949;1.62;0.027;0.215;0.192;Оригинал;Оригинал
TOI-1798 c;TOI-1798;Железная планета;5.59;1.40;11.20;1897;0.44;0.011;0.000;0.193;Оригинал;Оригинал
Kepler-1394 b;Kepler-1394;Железная планета;4.20;1.39;8.62;1902;3.94;0.058;0.492;0.193;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-210 b;K2-210;Железная планета;1.09;0.86;9.47;1998;0.57;0.013;0.160;0.195;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-974 c;Kepler-974;Железная планета;0.69;0.61;16.76;1754;0.18;0.005;0.000;0.197;Оригинал;Оригинал
HD 93963 Ab;HD 93963 A;Железная планета;4.27;1.35;9.57;1876;1.04;0.021;0.291;0.197;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1339 Ab;Kepler-1339 A;Железная планета;0.56;0.71;8.77;1795;1.34;0.024;0.239;0.203;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1921 c;Kepler-1921;Железная планета;4.51;1.41;8.87;1791;3.16;0.045;0.448;0.203;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1561 b;Kepler-1561;Железная планета;2.26;1.09;9.62;1953;1.01;0.020;0.207;0.203;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-963 c;Kepler-963;Железная планета;0.38;0.60;9.75;1668;0.92;0.017;0.000;0.205;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-342 e;Kepler-342;Железная планета;1.11;0.88;9.01;1894;1.64;0.029;0.258;0.207;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-65 b;Kepler-65;Железная планета;4.86;1.42;9.35;1734;2.15;0.035;0.354;0.209;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1258 b;Kepler-1258;Железная планета;1.04;0.86;9.04;1844;0.98;0.019;0.245;0.210;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1031 Ab;Kepler-1031 A;Железная планета;1.07;0.87;8.80;1851;1.23;0.023;0.298;0.211;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 24085 Bb;HD 24085 B;Железная планета;3.56;1.34;8.17;1755;2.05;0.034;0.569;0.211;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1264 b;Kepler-1264;Железная планета;2.41;1.18;8.08;1829;0.97;0.019;0.542;0.211;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1139 b;Kepler-1139;Железная планета;2.63;1.19;8.60;1806;0.81;0.017;0.442;0.213;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1427 b;Kepler-1427;Железная планета;2.07;1.10;8.55;1851;0.97;0.019;0.424;0.213;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-908 b;Kepler-908;Железная планета;2.97;1.22;9.00;1776;1.34;0.025;0.370;0.215;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
WASP-94 Bb;WASP-94 B;Железная планета;3.90;1.32;9.40;1720;2.01;0.033;0.317;0.216;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1244 b;Kepler-1244;Железная планета;3.88;1.35;8.69;1700;3.70;0.053;0.469;0.217;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
TOI-431 b;TOI-431;Железная планета;3.07;1.28;8.07;1728;0.49;0.011;0.574;0.217;Оригинал;Оригинал
Kepler-323 b;Kepler-323;Железная планета;3.90;1.38;8.16;1681;1.68;0.028;0.582;0.217;Оригинал;Оригинал
K2-188 b;K2-188;Железная планета;3.82;1.35;8.56;1691;1.74;0.029;0.493;0.218;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-997 b;Kepler-997;Железная планета;3.83;1.36;8.40;1680;2.71;0.041;0.529;0.218;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1349 b;Kepler-1349;Железная планета;0.59;0.70;9.42;1646;2.13;0.034;0.107;0.219;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 220492298 b;EPIC 220492298;Железная планета;1.67;0.99;9.47;1830;0.76;0.016;0.205;0.221;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-229 b;K2-229;Железная планета;1.51;1.00;8.31;1828;0.58;0.013;0.440;0.222;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-1843.03;Kepler-974;Железная планета;8.00;0.61;194.20;1536;0.18;0.005;0.000;0.223;Оригинал;Оригинал
Kepler-1603 b;Kepler-1603;Железная планета;3.43;1.29;8.81;1659;2.27;0.036;0.427;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1284 b;Kepler-1284;Железная планета;2.76;1.21;8.58;1694;0.66;0.014;0.450;0.225;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 25463 c;HD 25463;Железная планета;4.30;1.36;9.35;1585;3.04;0.044;0.340;0.230;Оригинал;Оригинал
Kepler-217 d;Kepler-217;Железная планета;3.43;1.32;8.22;1600;3.89;0.054;0.554;0.231;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1559 b;Kepler-1559;Железная планета;0.63;0.72;9.26;1571;0.97;0.018;0.146;0.231;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1339 b;Kepler-1339;Железная планета;0.60;0.71;9.27;1555;1.34;0.023;0.140;0.232;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1173 b;Kepler-1173;Железная планета;1.21;0.89;9.44;1677;0.77;0.016;0.177;0.232;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1352 b;Kepler-1352;Железная планета;1.18;0.89;9.23;1654;1.88;0.031;0.218;0.235;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-301 c;K2-301;Железная планета;2.79;1.20;8.91;1597;0.35;0.008;0.381;0.238;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
KOI-6666 b;2MASS J19330703+4124132;Железная планета;0.77;0.76;9.61;1549;1.12;0.021;0.094;0.238;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 38677 d;HD 38677;Железная планета;4.41;1.39;9.00;1499;2.88;0.042;0.418;0.241;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1312 c;Kepler-1312;Железная планета;1.91;1.03;9.69;1658;1.12;0.021;0.174;0.241;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1311 c;Kepler-1311;Железная планета;3.10;1.22;9.40;1559;2.54;0.037;0.290;0.242;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-408 b;Kepler-408;Железная планета;5.00;0.82;49.97;1559;2.47;0.037;0.000;0.242;Оригинал;Оригинал
Kepler-1446 b;Kepler-1446;Железная планета;0.91;0.82;9.09;1557;0.69;0.014;0.220;0.243;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1275 b;Kepler-1275;Железная планета;4.85;1.48;8.24;1451;3.66;0.050;0.592;0.243;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1409 b;Kepler-1409;Железная планета;1.65;1.04;8.08;1631;0.76;0.015;0.500;0.244;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1443 b;Kepler-1443;Железная планета;1.52;0.97;9.20;1617;2.42;0.037;0.251;0.247;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1597 b;Kepler-1597;Железная планета;1.86;1.06;8.60;1593;2.95;0.043;0.402;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1027 Ab;Kepler-1027 A;Железная планета;1.23;0.91;8.99;1574;1.91;0.029;0.273;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
DMPP-4 b;DMPP-4;Железная планета;2.97;1.25;8.31;1504;3.50;0.049;0.517;0.248;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-524 c;Kepler-524;Железная планета;1.39;0.96;8.64;1585;1.89;0.031;0.360;0.250;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1877 Ab;Kepler-1877 A;Железная планета;0.37;0.62;8.29;1360;2.38;0.034;0.298;0.251;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
HD 179949 b;HD 179949;Железная планета;2.88;1.25;8.13;1486;3.09;0.044;0.552;0.251;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1963 b;Kepler-1963;Железная планета;0.71;0.74;9.51;1448;1.96;0.030;0.107;0.251;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1443 Ab;Kepler-1443 A;Железная планета;1.59;0.98;9.43;1581;2.42;0.037;0.208;0.252;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1274 b;Kepler-1274;Железная планета;4.53;1.42;8.71;1411;6.98;0.081;0.482;0.253;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1371 Ac;Kepler-1371 A;Железная планета;0.39;0.64;8.25;1348;2.01;0.030;0.313;0.255;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1601 b;Kepler-1601;Железная планета;0.85;0.82;8.54;1460;2.21;0.034;0.331;0.257;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1297 b;Kepler-1297;Железная планета;1.36;0.97;8.23;1537;1.68;0.028;0.445;0.258;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
K2-137 b;K2-137;Железная планета;0.44;0.64;9.33;1325;0.18;0.004;0.097;0.259;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-507 b;Kepler-507;Железная планета;3.45;1.30;8.66;1413;3.57;0.048;0.460;0.260;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
EPIC 206042996 c;EPIC 206042996;Железная планета;2.90;1.20;9.25;1424;0.35;0.008;0.315;0.265;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1298 b;Kepler-1298;Железная планета;3.33;1.31;8.15;1380;7.13;0.082;0.565;0.265;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1398 b;Kepler-1398;Железная планета;1.26;0.90;9.56;1460;2.79;0.040;0.156;0.265;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-1877 b;Kepler-1877;Железная планета;0.36;0.62;8.20;1278;2.38;0.035;0.316;0.265;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
Kepler-366 b;Kepler-366;Железная планета;4.73;1.46;8.37;1323;3.28;0.045;0.560;0.265;[Восстановлено ИИ];✅ ВЫСОКАЯ надёжность предсказания
